alim_nom_fr;Energie (kcal/100 g);Protéines (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Fibres (g/100 g)
Tartine croustillante au seigle, source ou riche en fibres;342;9.29;57.4;3;21.9
Toast ou pain grillé brioché aux raisins secs, tranches, préemballé;405;10.7;74.3;5.9;4.03
Pain grillé au froment, tranches, préemballé;399;9.75;71.8;6.2;6.4
Pain grillé au blé complet, tranches, préemballé;390;10.3;69.4;5.6;8
Pain grillé brioché, tranches, préemballé;427;10.2;67.6;11.3;4.9
Petit pain grillé suédois au froment;411;8.66;71.6;8.4;5.2
Petit pain grillé suédois aux céréales et graines;404;10.4;68.6;8.14;5.14
Tartine craquante extrudée, classique;385;9.01;75.8;3.6;4.8
Tartine craquante, extrudée et grillée, fourrée au chocolat;445;7.88;65.4;15.6;5.3
Tartine craquante, extrudée et grillée, fourrée aux fruits;372;4.22;74.9;5.1;2.6
Tartine craquante extrudées, source ou riche en fibres;376;9.86;71.3;3.5;7.2
Petit pain grillé suédois au blé complet, sans sucres ajoutés;391;10.8;65;7.2;9.4
Petit pain grillé suédois au blé complet;402;9.69;65.8;8.6;9.3
Petit pain grillé suédois aux fruits;386;8.85;73.8;4.9;3.8
Petit pain grillé suédois brioché;421;9.43;69.4;10.6;3.31
Pain grillé aux céréales, tranches, préemballé;417;12.8;70;7.33;7.5
Croûton, à tartiner, préemballé;374;12.3;70;2.85;7
Croûton nature, préemballé;459;9.21;62.4;17.9;3.72
Chapelure;365;9.41;74.3;1.6;5.4
Gressin, nature (sans sésame);428;11.4;68.8;10.5;4.25
Viennoiserie (aliment moyen);385;7.63;49;17;2.43
Croissant, sans précision (aliment moyen);417;6.56;46.2;22.1;2.41
Croissant ordinaire, artisanal;412;6.33;47.6;21.1;1.8
Croissant ordinaire, préemballé;398;6.95;46.7;19.1;4.1
Croissant pur beurre, sans précision (aliment moyen);420;6.61;45.7;22.6;2.5
Croissant pur beurre, artisanal;420;6.61;45.7;22.6;2.5
Croissant pur beurre, préemballé;388;6.27;45.7;18.9;3.7
Croissant aux amandes, artisanal;449;7.62;36.5;29.1;3.7
Pain au lait, artisanal;376;8.55;49;15.4;1.5
Pain au lait, préemballé;357;8.69;50.5;12.3;3.5
Pain au lait aux pépites de chocolat, préemballé;375;8.25;49.6;14.7;3.8
Panettone (brioche italienne aux raisins secs et écorces d'orange confite), préemballée;352;6.88;50.6;12.7;3.4
