alim_nom_fr;Energie (kcal/100 g);Protéines (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Fibres (g/100 g)
Pâté de gibier;293;14.2;3.28;24.7;0.5
Pâté ou terrine aux champignons (forestier);328;12.6;5.93;28.1;0.58
Tarama, au saumon fumé, préemballé;501;7.7;4.74;50;0.38
Terrine de poisson, préemballée;205;9.01;4.21;16.7;1.36
Terrine de fruits de mer (par ex. de Saint-Jacques), avec ou sans poisson, préemballée;190;9.13;7.89;13.3;1.2
Tarama, aux oeufs de cabillaud, préemballé;518;6.11;4.01;53;0.48
Terrine ou mousse de légumes, premballée;140;6.67;5.5;9.56;2.55
Flan de légumes aux oeufs;210;5.38;4.13;18.6;2.3
Pâté de foie de porc, supérieur;358;13;6.5;31;0.3
Pâté de foie de porc;355;10.8;2.91;33.3;0.2
Mousse de foie de porc supérieure ou crème de foie;324;11.1;10.9;26.1;0.72
Mousse de foie de porc;286;12;3.39;24.9;0.75
Mousse de canard;394;10.1;7.07;36.1;0.45
Pâté de foie de volaille;316;13.7;1.21;28.3;0.84
Foie gras, canard, entier, cuit;526;8.41;0.03;54.6;0.35
Foie gras, canard, bloc, sans morceaux;478;5.75;1.09;50;0.35
Foie gras, canard, bloc, 30% de morceaux;488;6.88;2.19;50.1;0
Foie gras, canard, bloc, 50% de morceaux;488;6.39;4.28;49.5;0
Pâté de foie d'oie;459;11.4;4.67;43.8;0
Foie gras, canard, cru;600;5.94;1.41;63.4;0
Foie gras, canard, bloc (aliment moyen);488;6.88;2.19;50.1;0
Pâté (aliment moyen);325;14.6;1.91;28.7;0.12
Galantine;109;22;1.28;1.73;0.44
Roulade de porc pistachée;287;15.3;3;23.5;1.2
Oeuf au jambon en gelée;88.3;11.5;0;4.7;0
Pâté en croûte;303;9.96;21.7;19.3;1.5
Jambon en croûte;236;14.4;17.8;11.8;0.77
Fromage de tête;184;13.8;3.15;12.9;0
Salade de museau de porc, avec sauce, préemballée;172;8.51;0.89;14.8;0.75
Salade de cervelas, avec sauce, préemballée;259;7.6;1.93;24.2;1.28
Jambon persillé en gelée;151;19;0.48;7.9;0
Museau de boeuf;151;26.2;0;5.17;0
Andouille;211;18.4;0.3;15.1;0
Andouille de Guéméné;234;18;0;18;0
Andouille, réchauffée à la poêle;270;22.5;0;20;0
Andouille de Vire;238;19;0;18;0
Andouillette, à cuire;225;18.8;0.5;16.3;0.71
Andouillette, grillée/poêlée;301;24.5;0.54;22.3;0
Andouillette de Troyes, à cuire;256;19.7;1;19;0.9
Tripes à la mode de Caen (estomac et pied de boeuf, carottes…), préemballées;120;20.4;0.5;3.68;1.5
Tripes à la tomate ou à la provençale, préemballées;100;17.5;0.55;3.13;0
Boudin noir, à cuire;297;12.2;0.29;27.1;1.42
Boudin noir, grillé/poêlé;246;11.9;3.78;20.3;0
Boudin, grillé/poêlé (aliment moyen);238;11.3;4.59;19.4;0
Boudin antillais, à cuire;231;11.5;9.2;16.5;0
Boudin blanc, grillé/poêlé;220;9.89;6.6;17.1;0
Boudin blanc, à cuire;244;10;3.64;21;0
Boudin blanc truffé, à cuire;247;10.6;9.01;18.4;1.4
Quenelle de veau en sauce, appertisée;169;3.52;14.8;10.3;1.39
Quenelle de volaille, à cuire;189;9.37;14.7;10.1;1.1
Quenelle de volaille en sauce, appertisée;138;3.55;10.3;8.92;1.2
Quenelle de poisson en sauce, appertisée;135;3.79;10.5;8.51;0.72
Quenelle de poisson, à cuire;245;8.1;23.6;12.7;2.15
Quenelle nature, à cuire;226;6.88;14.7;15.1;1.1
Épeautre, cru;344;14.6;59.5;2.43;10.7
Blé de Khorasan, cru;342;14.5;59.5;2.13;11.1
Blé dur complet, cru;342;13.7;59.3;2.47;11.8
Blé dur complet, précuit, à cuire;359;13.7;67.7;1.83;6.67
Blé dur (grains entiers), précuit, cuit, sans sel ajouté;153;5.36;28.2;1.1;3.5
Blé dur précuit, cuisiné, en sachet micro-ondable;188;4.86;29.6;4.84;2.58
Nouilles asiatiques cuisinées (boeuf, poulet, légumes…) non instantanées;140;4.78;18.8;4.3;2.8
Riz blanc, cru;350;7.02;77.5;0.79;1.53
Riz blanc étuvé, cru;361;7.33;79.4;1.02;1.65
Riz complet, cru;350;7.02;71.4;2.8;5
Riz complet, cuit, sans sel ajouté;187;3.87;37.6;1.8;2.1
Riz blanc, cuit, sans sel ajouté;155;3.15;33.2;0.7;1.4
Riz blanc étuvé, cuit, sans sel ajouté;146;2.95;31.7;0.56;1.1
Riz blanc, précuit, cuit, sans sel ajouté;126.1;0;28.1;1.3;1
Riz sauvage, cru;344;11.1;69.2;0.94;5.9
Riz rouge, cru;352;7.97;70.6;3;4.5
Riz rouge, cuit, sans sel ajouté;141;3.45;28.2;0.69;4
Riz sauvage, cuit, sans sel ajouté;102;3.8;19.7;0.34;1.8
Riz semi-complet, cuit, sans sel ajouté;165;3.63;34.4;1;1.7
Riz thaï ou basmati, cru;351;7.08;78.4;0.63;1.06
Riz, mélange de variétés (blanc, complet, rouge, sauvage, etc.), cru;355;7.14;78.1;1;1.5
Riz thaï, cuit, sans sel ajouté;143;2.38;31.4;0.8;0
Riz basmati, cuit, sans sel ajouté;148;3.03;32.9;0.4;0
Pop-corn ou maïs éclaté, à l'huile, salé;477;8.3;50.2;24.6;10.6
Pop-corn ou maïs éclaté, sans huile, non salé;419;11;59.7;12.3;12.8
Pop-corn ou maïs éclaté, au caramel;421;6.53;73.2;9.83;6.8
Avoine, crue;378;16.9;55.7;6.9;10.6
Flocons d'avoine bouillis/cuits à l'eau;69.1;2.54;10.3;1.52;1.7
Orge complète, crue;334;12.5;56.2;2.3;17.3
Orge perlée, crue;346;9.91;68.6;1.16;9.1
Orge perlée, bouilli/cuite à l'eau, sans sel ajouté;119;2.26;24.4;0.44;3.8
Mil complet, cru;360;11;64.3;4.22;8.5
Mil, cuit, sans sel ajouté;116;3.51;22.4;1;1.3
Quinoa, cru;358;13.2;58.1;6.07;7
Quinoa, bouilli/cuit à l'eau, sans sel ajouté;149;4.66;27.9;1.1;3.8
Amarante, crue;369;13.5;58.6;7.02;6.7
Sorgho complet, cru;349;10.6;65.4;3.46;6.7
Sarrasin complet, cru;362;13.3;67.5;3.4;4
Seigle complet, cru;332;10.3;60.8;1.63;15.1
Farine de blé tendre ou froment T110;343;9.61;68.6;1.5;6.8
Farine de blé tendre ou froment T150;342;11.4;64.9;1.52;10.2
Farine de blé tendre ou froment T65;346;10;71.5;1;3.5
Farine de blé tendre ou froment T55 (pour pains);350;9.03;73.7;1;3.2
Farine de blé tendre ou froment avec levure incorporée;350;9.12;74;1;2.5
Farine de blé tendre ou froment T45 (pour pâtisserie);355;8.44;76.5;0.82;2.5
Farine de blé tendre ou froment T80;355;9.95;73.2;1.18;4.2
Farine d'épeautre (grand épeautre);352;11.4;64;3;9.3
Amidon de maïs ou fécule de maïs;365;0.26;90.4;0.05;0.9
Farine de riz;357;7.62;73.9;2.5;3.3
Farine de seigle T170;315;15.9;44.8;2.22;23.8
Farine de seigle T85;345;9.82;68.7;1.33;8
Farine de seigle T130;344;7.24;70.9;1.12;9.5
Farine de sarrasin;348;11.5;68.4;2.19;4.2
Farine de maïs;362;5.59;80.9;1.39;1.9
Farine d'orge;337;10.5;64.4;1.6;10.1
Farine de millet;350;10.2;63.2;4.1;9.7
Farine de châtaigne;362;5.69;70.4;3.43;12.6
Farine de pois chiche;359;22.4;47;6.69;10.8
Semoule de blé dur, crue;350;11.8;69.8;1.28;3.7
Mélange de céréales et légumes secs, cru;354;13.7;59;4;11
Polenta ou semoule de maïs, précuite, à cuire;350;7.88;74;1.8;3.2
Polenta ou semoule de maïs, cuite, sans sel ajouté;76.1;1.38;16.9;0;1.6
Son de blé;270;14.8;22.7;3.88;42.9
Son d'avoine;361;16.8;50.6;6.52;16.7
Son de maïs;226;8.36;6.65;0.92;79
Son de riz;398;14;28;20.9;21
Germe de blé;375;27.2;35.1;9.5;16.3
Graine de couscous (semoule de blé dur précuite), à cuire;366;12.3;72.7;1.32;4.5
Semoule ou graine de couscous, cuite, sans sel ajouté;164;5.81;31;0.9;2.8
Semoule ou graine de couscous complète, cuite, sans sel ajouté;142;4.28;26.8;1;3.7
Semoule ou graine de couscous semi-complète, cuite, sans sel ajouté;170;5.59;32.4;1;3.2
Boulgour de blé, cru;347;11.7;65.8;1.42;10.5
Boulgour de blé, cuit, sans sel ajouté;131;4.31;24.1;1;3.7
Pâtes sèches, standard, crues;364;12;72.7;1.6;2.91
Pâtes sèches, standard, cuites, sans sel ajouté;167;6.1;31.4;1.1;2.2
Pâtes fraîches, aux oeufs, crues;283;10.1;53.8;1.87;3.17
Pâtes fraîches, aux oeufs, cuites, sans sel ajouté;168;5.76;32;1.3;1.5
Pâtes sèches, aux oeufs, crues;381;14;68;4.72;3.15
Pâtes sèches, aux oeufs, cuites, sans sel ajouté;134;4.57;23;2;2
Pâtes sèches, sans gluten, cuites, sans sel ajouté;163;3.09;34.4;1.1;1
Pâtes ou nouilles asiatiques sèches, au blé et aux oeufs, nature, crues;371;11.9;71;3;4
Pâtes sèches, au blé complet, crues;353;11.8;67.6;2.2;6.1
Pâtes sèches, au blé complet, cuites, sans sel ajouté;179;7.35;31.3;1.4;5.1
Pâtes sèches, sans gluten, crues;358;6.06;79;1.5;1
Pâtes sèches, sans gluten (à base de riz et maïs), cuites, sans sel ajouté;170;3.15;36.6;0.8;1.3
Pâtes sèches, sans gluten (à base de lentilles corail), cuites, sans sel ajouté;168;11.7;25.1;0.8;4.9
Pâtes sèches, semi-complètes, cuites, sans sel ajouté;173;5.71;31.8;1.2;4.5
Vermicelles de riz sèches, crues;365;7.44;80.5;1;1.2
Vermicelle de riz, cuite, sans sel ajouté;86.6;1.43;20.1;0;0
Vermicelles de soja sèches, crues;343;0.29;84.7;0.14;1.6
Vermicelle de soja, cuite, sans sel ajouté;60;0.29;14.4;0.1;0.8
Bigorneau, cuit;109;16.3;3.01;3.5;0
Calmar ou calamar ou encornet, cru;77;14.4;2.17;1.19;0
Calmar ou calamar ou encornet, à la romaine (beignet), préemballé;229;8.69;26.7;9.5;1
Coquille Saint-Jacques, noix et corail, crue;83;17;0.78;1.31;0
Coquille Saint-Jacques, noix et corail, cuite;110;20.2;3.22;1.77;0
Crabe, miettes et ou pattes décortiquées, appertisé, égoutté;97.8;18.1;4.16;0.96;0
Crevette grise, cuite;89.4;19.4;0.47;1.1;0
Crevette, cuite;91.3;20.5;0.2;0.79;0
Escargot, cru;77.9;16.1;1.29;0.92;0
Homard, bouilli/cuit à l'eau;90.9;19.6;0.11;1.32;0
Homard, cru;85.5;17.9;0.94;1.15;0
Huître, sans précision, crue;67.2;8.64;3.86;1.91;0
Langoustine, panée, frite;282;10.9;29;13.6;0
Moule, bouillie/cuite à l'eau;108;17.2;5.12;2.09;0
Moule commune, crue;71.8;11.2;2.69;1.82;0
Langouste, crue;86.9;17.7;1.07;1.34;0
Seiche, crue;76.3;16.2;0.51;1.05;0
Clam, praire ou palourde, cru;80.5;11.5;2.66;2.65;0
Poulpe, cru;60.1;12.9;0.97;0.5;0
Bulot ou buccin, cru;131;23.8;7.61;0.57;0
Bulot ou buccin, cuit;97.7;20.7;2.69;0.47;0
Crevette, crue;99;19.7;3.21;0.84;0
Langouste, bouillie/cuite à l'eau;106;21.8;1.3;1.52;0
Beignet de crevette;260;6.5;35.5;10;1
Langoustine, crue;89.8;19.1;1.53;0.79;0
Crabe ou tourteau, bouilli/cuit à l'eau;124;19.5;1.79;4.29;0
Moule de Méditerranée, crue;68.7;10.7;2.77;1.67;0
Clam, praire ou palourde, bouilli/cuit à l'eau;99.2;16.2;5.33;1.48;0
Moules, au naturel, appertisées, égouttées;97.6;16.1;2.6;2.1;1.95
Écrevisse, crue;68.3;14.8;0.81;0.64;0
Écrevisse, cuite;73.5;16.3;0.56;0.7;0
Crevette bouquet, sauvage, cuite;103;22.8;0;1.27;0
Coque, cuite;86.9;13.6;5.64;1.1;0
Huître creuse, crue;67.2;8.64;3.86;1.91;0
Huître plate, crue;53.5;10.2;1.16;0.9;0
Calmar ou calamar ou encornet, bouilli/cuit à l'eau;149;32.5;1.64;1.4;0
Crevette, surgelée, crue;105;23.4;0.74;0.9;0
Crabe, cru;104;19.5;0.03;2.86;0
Ormeau, cru;99.6;14.4;8.69;0.83;0
Escargot en sauce au beurre persillé, préemballé, cuit;275;12.9;1.75;23.7;1.25
Fruits de mer (aliment moyen);103;19.5;2.47;1.66;0
Langoustine, bouillie/cuite à l'eau;92.6;20.9;0;0.98;0
Coquille Saint-Jacques, noix, crue;83.6;17.9;1.15;0.84;0
Pecten d'Amérique ou peigne du Canada, noix, crue;81.3;17.3;1.78;0.54;0
Pétoncle ou peigne du Pérou, noix, crue;88.7;17.5;3.1;0.7;0
Araignée de mer, bouillie/cuite à l'eau;108;18.3;0.16;3.8;0
Crevette blanche ou crevette tropicale (rose), élevage, cuite;97.5;22.1;0.14;0.93;0
Crevette tropicale (tigrée), élevage, cuite;101;22.6;0.75;0.83;0
Crevette tropicale (rose), cuite (Penaeus brasiliensis);117;26.6;0;1.18;0
Bigorneau, cru;16.56;0;0;1.84;0
Poulpe, cuit;156;29.8;4.4;2.08;0
Fruits de mer, mélange ou cocktail, surgelés, cuits;79.5;13.5;2.83;1.57;0
Moules à la sauce catalane ou escabèche (tomate), appertisée, égouttée;75.4;9.6;4.9;1.65;1.25
Moules marinières (oignons et vin blanc), préemballées;91.9;10.3;7.43;2.24;0.53
Moules farcies (matière grasse, persillade…), préemballées, crues;283;9.56;4.2;24.8;1.5
Calmar ou calamar ou encornet, frit ou poêlé avec matière grasse;173;17.9;8.45;7.48;0
Crevettes, décortiquées, cuites, réfrigérées, préemballées;92.5;18.3;2.6;1.02;0.1
Ecrevisses, décortiquées, cuites, réfrigérées, préemballées;82.7;18.6;0.1;0.9;0.13
Crevettes grises, décortiquées, cuites, réfrigérées, préemballées;91.7;20.7;0.08;1;0
Escargot, cuit;84.7;16.6;1.39;1.4;0
Crevette sauvage, cuite;97.3;22;0.04;1.01;0
Crevette, élevage, cuite (aliment moyen);100;22.5;0.64;0.85;0
Cerfeuil, séché;302;23.2;37.8;3.9;11.3
Ail, cru;109;5.31;18.6;0;5.8
Bouillon de boeuf, déshydraté;232;10.2;18;13.3;0
Cerfeuil, frais;48.3;3.31;6.25;0.55;2.55
Ciboule ou ciboulette, fraîche;30.8;2.55;2.85;0.46;2.55
Cornichon, au vinaigre;16;1.06;0.78;0;1.5
Curry, poudre;301;14.5;2.63;14;53.2
Gingembre, poudre;335;8.98;58.3;4.24;14.1
Gélatine, sèche;348;86.9;0;0.1;0
Ketchup, préemballé;108;1.23;23.7;0.16;1.77
Levure de bière en paillettes;334;40.4;21.8;4.5;22.5
Levure de boulanger fraîche;115;8.4;11.9;1.9;8.1
Moutarde;151;6.92;4.33;11.2;0
Persil, frais;42.5;2.97;4.1;0.63;4.3
Poivre noir, poudre;331;13.3;39.9;7.5;25.3
Raifort, frais;73.2;5.25;7.79;0.45;7.5
Vinaigre;22.5;0.04;0.95;0.1;0
Poivre blanc, poudre;313;12.1;48.3;2.12;26.2
Moutarde à l'ancienne;142;6.6;2.2;9.9;4.5
Ail séché, poudre;346;16.6;63.7;0.73;9
Persil, séché;291;29;16.8;5.34;29.7
Cannelle, poudre;243;3.99;27.5;1.24;53.1
Coriandre, graine;345;12.4;13;17.8;41.9
Menthe, fraîche;57.6;3.52;5.3;0.84;7.4
Menthe, séchée;283;19.9;22.2;6.03;29.8
Basilic, séché;244;23;10.1;4.07;37.7
Basilic, frais;35.2;3.15;3.4;0.64;1.6
Marjolaine, séchée;276;12.7;20.3;7.04;40.3
Origan, séché;265;9;26.4;4.28;42.5
Romarin, séché;328;4.88;21.5;15.2;42.6
Sauge, séchée;320;10.6;20.4;12.8;40.3
Thym, séché;285;9.11;26.9;7.43;37
Safran;352;11.4;61.5;5.85;3.9
Câpres, au vinaigre;37.66;2.18;3.5;0.86;3.6
Bouillon de légumes, déshydraté;287;9.66;26;16;0
Cumin, graine;427;17.8;33.7;22.3;10.5
Tapenade, préemballée;229;1.93;3.29;21.9;5.26
Sel au céleri;49;1.81;4.14;2.53;1.19
Levure de boulanger déshydratée;341;42.7;14.3;6.56;26.9
Levure chimique ou poudre à lever;108;0.1;26.9;0;0.2
Noix de muscade;506;5.84;27.4;36.3;20.8
Paprika, poudre;318;14.1;18.8;12.9;34.9
Estragon, séché;342;22.8;42.8;7.24;7.4
Sauce tartare, préemballée;500;0.92;5.11;52.7;0.34
Clou de girofle;335;5.97;31.6;13;33.9
Laurier, feuille;353;7.61;48.6;8.36;26.3
Mayonnaise (70% MG min.), préemballée;692;1.33;3.41;74.5;0.26
Oignon au vinaigre;17.35;0.6;2.5;0.15;1.8
Quatre épices, poudre;348;6.09;50.5;8.69;21.6
Herbes de Provence, séchées;283;11.5;23.1;7.2;40.1
Pavot, graine;534;21.2;13.7;41.6;10
Sarriette, séchée;264;6.73;23;5.91;45.7
Aneth, séché;315;20;42.2;4.36;13.6
Carvi, graine;334;19.8;11.9;14.6;38
Vanille, extrait alcoolique;240;0.05;2.41;0;0
Fenouil, graine;327;15.8;12.5;14.9;39.8
Romarin, frais;121;3.31;6.6;5.86;14.1
Sauge, fraîche;34.9;4;0.97;0;7
Thym, frais;107;5.56;10.5;1.68;14
Ketchup allégé en sucres, préemballé;68.6;1.33;13.8;0.09;1.43
Gingembre, racine fraîche;33.3;1.1;3.4;1.1;2.7
Cardamome, poudre;321;10.8;40.5;6.7;28
Fenugrec, graine;350;27.1;33.8;6.41;24.6
Mayonnaise à teneur réduite en matière grasse ou mayonnaise allégée, préemballée;297;1.09;8.82;28.5;0.31
Herbes aromatiques fraîches (aliment moyen);51.2;3.26;4.69;0.93;5.53
Epice (aliment moyen);327;12.6;37.8;7.85;27.7
Agar (algue), frais, cru;28.4;0.54;6.25;0.03;0.5
Agar (algue), séché;27.54;6.21;0;0.3;0
Spiruline (Spirulina sp.), séchée ou déshydratée;374;60.4;17.7;6.27;2.71
Poivre de Cayenne ou piment de Cayenne, poudre;376;12;29.4;17.3;27.2
Curcuma, poudre;291;9.68;44.4;3.25;22.7
Vinaigre de cidre;3.72;0;0.93;0;0
Vinaigre balsamique;91.7;0.69;18;0;0.75
Estragon, frais;44;3.8;4.1;0;6.2
Aneth, frais;48.2;3.93;3.9;1.1;3.5
Coriandre, fraiche;22.3;2.13;0.87;0.52;2.8
Ciboulette, séchée;236.3;0;38.1;3.5;26.2
Cornichon, aigre-doux;36;1.25;5;0.35;1.5
Vanille, extrait aqueux;57.7;0.03;14.4;0;0
Sauce barbecue, préemballée;136;0.56;30.3;0.6;1.2
Sauce béchamel, préemballée;105;2.56;6.2;7.4;1.3
Sauce béarnaise, préemballée;455;0.88;4.87;47.7;0.13
Sauce soja, préemballée;39.9;7.25;1.72;0;0.9
Sauce hollandaise, préemballée;197;1.19;3.2;19.8;0.5
Sauce tomate aux oignons, préemballée;78.8;1.52;7.69;4.18;2.17
Sauce vinaigrette à l'huile d'olive (50 à 75% d'huile), préemballée;471;0.7;3.03;50.5;0.53
Sauce vinaigrette allégée en matière grasse (25 à 50% d'huile), préemballée;251;0.25;2.39;26.4;0.5
Sauce vinaigrette (50 à 75% d'huile), préemballée;475;0.55;2.91;51;0.75
Sauce armoricaine, préemballée;83.6;2.1;3.95;6.6;0
Harissa (sauce au piment), préemballée;76.4;2.72;7.3;2.9;5.1
Sauce tomate à la viande ou sauce bolognaise, préemballée;93.8;4.22;7.27;4.81;2.29
Sauce au poivre vert, préemballée;88.9;1.3;5.3;6.65;1.3
Sauce bourguignonne, préemballée;439;1.34;7.85;44.6;0.53
Sauce madère, préemballée;37.6;0.6;3.6;2.2;0.5
Sauce à l'échalote à la crème, préemballée;106;1.7;11.9;5.53;0.9
Sauce carbonara, préemballée;160;5.17;4.7;12.8;2.65
Sauce chasseur, préemballée;38.8;1.21;4.66;1.61;0.43
Sauce au curry, chaude, préemballée;77.4;1.02;10.6;3.16;1.28
Sauce au beurre blanc, préemballée;212;1.13;3.4;21.4;0
Sauce béchamel au beurre, faite maison;147;3.84;8.97;10.6;0.2
Sauce moutarde, préemballée;233;1.66;4.7;22.8;1.2
Sauce au beurre, préemballée;192;2.2;5.2;17.9;1
Sauce à la crème;78.2;1.08;5.9;5.55;0.17
Sauce aux champignons, préemballée;98.8;3.2;6.3;6.26;2.25
Sauce à la crème aux épices;82.5;1.16;6.2;5.75;0.65
Sauce à la crème aux herbes;76.6;1.09;5.5;5.49;0.4
Sauce aigre douce, préemballée;153;0.3;37;0.2;0.97
Sauce au vin rouge, faite maison;64.5;0.81;7;2.22;0.46
Sauce au yaourt, faite maison;98.5;3.64;5.04;6.91;0.8
Sauce américaine, préemballée;409;1.34;9.99;39.8;1
Sauce aïoli, préemballée;480;1.13;5.44;50.2;0.25
Fond de veau pour sauces et cuisson, déshydraté;343;8.5;59.5;7.4;2.1
Sauce basquaise ou sauce aux poivrons, préemballée;63.1;1.17;7.41;2.71;2.09
Fond de volaille pour sauces et cuisson, déshydraté;336;10;63;4.5;1.5
Court-bouillon pour poissons, déshydraté;260;5;7;23;2.5
Bouillon de volaille, déshydraté;193;13;17;8;0.5
Gelée au madère, déshydratée;262;47;18;0.2;0
Gelée au madère;136;24.4;9.75;0.01;0
Sauce tomate aux champignons, préemballée;68.3;1.79;7.78;2.68;2.35
Sauce tomate aux olives, préemballée;110;1.41;7.5;7.32;3.34
Sauce pesto, préemballée;370;3.94;6.6;35.4;2.5
Sauce au poivre, chaude, préemballée;160;1;4.8;14.8;1.13
Sauce (aliment moyen);246;1.51;6.74;23.3;1.18
Sauce crudités ou sauce salade, préemballée;303;0.61;6.17;30.5;0.56
Sauce au fromage pour risotto ou pâtes, préemballée;118;3.11;4.24;9.53;1.4
Sauce au roquefort, préemballée;128;2.85;4.4;10.9;0.6
Sauce aux champignons et à la crème, préemballée;75.5;1.38;6.2;5;0
Sauce nuoc mâm ou sauce au poisson, préemballée;81.2;9.3;10.9;0;0.2
Sauce burger, préemballée;427;1.28;13.2;40.4;0.58
Sauce crudités ou sauce salade, allégée en matière grasse, préemballée;160;0.8;6.7;14.3;0.62
Sauce grand veneur, préemballée;103;1.5;8.45;7;0
Sauce indienne type tandoori ou tikka masala, préemballée;86.7;2.6;14.3;1.7;1.9
Sauce kebab, préemballée;433;1.22;6.93;44.1;0.3
Sauce rouille, préemballée;551;0.6;2.7;59.8;0
Sauce tomate aux petits légumes, préemballée;66.8;1.54;7.57;2.9;2.12
Sauce tomate au fromage, préemballée;180;3.94;8.09;14.2;2.41
Sauce pesto rosso, préemballée;305;4.8;8.58;27;4.15
Sauce au poivre, froide, préemballée;472;0.69;5.8;49.3;0
Sauce froide (aliment moyen);318;0.83;6.23;31.9;0.79
Préparation culinaire à base de soja, type "crème de soja";152;3.25;2.03;14.7;0
Caviar de tomates;218;2.19;6.8;19.2;3.5
Sauce soja sucrée, préemballée;171;2.88;39.5;0;0
Sauce pour nems à base de nuoc-mam dilué, préemballée;132;1.38;31.2;0;0
Sauce chaude (aliment moyen);123;2.67;7.65;8.67;1.88
Sauce végétale type bolognaise, aux protéines de soja, préemballée;68;3.56;5.05;3;2.46
Vinaigre de vin rouge;20.6;0.25;0;0;0
Extrait de levure, à tartiner;187;42.4;3.5;0.4;0
Ktipiti, tartinade de fromage frais aux poivrons rouges, préemballé;154;7.24;3.9;11.9;1.35
Sauce d'huître, préemballée;50.7;1.35;10.6;0.25;0.3
Sauce algérienne, préemballée;486;1.76;14;46.8;0.9
Sauce andalouse, préemballée;548;1.61;8.03;56.5;0.7
Sauce cocktail, préemballée;572;1.33;9.2;58.7;0.78
Sauce pommes frites, préemballée;330;0.82;10.3;31.6;0.2
Sauce samouraï, préemballée;523;1.11;5.09;55.2;0.65
Sauce au curry, froide, préemballée;367;0.88;8.49;36.5;0.58
Sauce Caesar, préemballée;448;1.8;7.04;45.7;1
Crème de pruneaux, préemballée;240;1.4;55;0.45;5
Sauce au chocolat, préemballée;308;2.16;62.3;5.1;1.8
Sauce teriyaki, préemballée;88.1;5.93;16;0.02;0.1
Sauce à l'oseille, préemballée;153;1.3;1.7;15;3.2
Fumet de poisson, prêt à consommer, préemballé;53.6;5.1;3.8;2;0
Fond de veau, préemballé;40.9;3.15;2.4;2.05;0.1
Ail, rôti/cuit au four;125;5.56;23.8;0;2.7
Ail, grillé/poêlé, sans matière grasse;130;6;22;0.4;5.8
Édulcorant à l'aspartame, en pastilles;44;11;0;0;0
Bicarbonate de soude;0.4;0.1;0;0;0
Édulcorant à l'aspartame, en poudre;18.6;1;3.7;0;0
Vermicelles multicolores;389;1.16;95.6;0.15;0.5
Camembert, sans précision sur le type de lait (pasteurisé ou cru);280;19.5;0;22.5;0
Fromage à pâte molle et croûte fleurie, non allégé en matière grasse (type camembert);271;19.7;0;21.5;0
Fromage à pâte molle et croûte fleurie, allégé en matière grasse (type camembert);178;22.6;1.07;9.3;0
Camembert au lait cru ou thermisé;267;20.7;0;20.3;0
Camembert au lait pasteurisé;275;19.2;1.29;21.5;0
Fromage à pâte molle et croûte fleurie, double crème environ 30% MG;346;16.6;0.64;30.9;0.04
Coulommiers;280;18.8;0;23;0.04
Fromage à pâte molle type carré ou brique, à croûte fleurie, non allégé en matière grasse;330;17.8;0;28.8;0.05
Brie, sans précision;345;17.6;0.68;30.4;0.06
Brie de Meaux;276;21.4;1.17;20.7;0.13
Brie de Melun;288;22;0;22.2;0
Carré de l'Est;318;18.4;0.83;27;0
Chaource;278;17.3;0.58;22.9;0
Maroilles, laitier;338;22.3;0;27.8;0
Maroilles, fermier;349;21.2;0;29.5;0
Neufchâtel;300;18.1;0;25.5;0
Fromage à pâte molle, triple crème, environ 38% MG;380;10.5;1.05;37.2;0
Fromage à pâte molle et croûte lavée (aliment moyen);313;20;0.42;25.9;0.09
Fromage à pâte molle et croûte lavée, allégé en matière grasse;200;21.6;1;12.4;0
Maroilles, sans précision;325;21.9;0;26.4;0
Livarot;301;24.6;0;22.6;0
Époisses;286;17.6;0;24;0
Munster;324;20.4;0.7;26.8;0.19
Langres;286;16.7;1.13;23.8;0
Fromage à pâte molle et croûte lavée, non allégé en matière grasse;311;20.3;0;25.7;0
Pont l'Évêque;326;22.7;0;26.2;0
Reblochon;322;20.3;0;26.9;0
Saint-Marcellin;280;15.1;0;24.3;0
Fromage à pâte molle et croûte mixte (lavée et fleurie) colorée;336;18.2;1;29;0
Mont d'or ou vacherin du Haut-Doubs (produit en France) ou vacherin-Mont d'Or (produit en Suisse);293;17.9;0.54;24.6;0
Saint-Félicien;281;13.4;0;25.2;0
Fromage pour tartiflette (pâte molle et croûte mixte);320;20.2;0.72;26.4;0
